SubjID,ListNumb,ConditionID,TargID,Naming Error (Y/N),Scene Setting (Y/N),Source Mention (Y/N),SourceMenType,Goal Mention (Y/N,GoalMenType,Mention Order,Manner of Motion,Coding Notes,Coder Initials
S1R,L1,CG,Targ13,y,n,y,from-pp,y,to-pp,Source-Goal,crawls,,MLD
S1R,L1,CG,Targ2,n,n,y,from-pp,y,to-pp,Source-Goal,gallops,,MLD
S1R,L1,CG,Targ17,n,n,y,from-pp,y,to-pp,Source-Goal,carries,,MLD
S1R,L1,CG,Targ7,y,n,y,from-pp,y,to-pp,Source-Goal,walks,,MLD
S1R,L1,CG,Targ5,n,n,y,from-pp,y,to-pp,Source-Goal,flies,inserted the goal as RC for motion path,MLD
S1R,L1,CG,Targ15,n,n,y,from-pp,y,to-pp,Source-Goal,prances,"forgot to mention source, and then went back to include source",MLD
S1R,L1,CG,Targ6,n,n,y,from-pp,y,to-pp,Source-Goal,flies,,MLD
S1R,L1,CG,Targ4,n,n,y,from-pp,y,to-part,Source-Goal,flies,,MLD
S1R,L1,CG,Targ12,y,n,y,from-pp,y,to-pp,Source-Goal,goes,,MLD
S1R,L1,CG,Targ8,n,n,y,from-pp,y,to-pp,Source-Goal,flies,,MLD
S1R,L1,CG,Targ18,n,n,y,from-part,y,to-pp,Source-Goal,moves,,MLD
S1R,L1,CG,Targ11,n,n,y,from-pp,y,to-pp,Source-Goal,conjoined,flies + lands,MLD
S1R,L1,CG,Targ14,n,n,y,from-pp,y,to-pp,Source-Goal,drives,,MLD
S1R,L1,CG,Targ16,n,n,y,from-pp,y,to-part,Source-Goal,goes,,MLD
S1R,L1,CG,Targ1,y,n,y,from-pp,y,to-pp,Source-Goal,jumps,,MLD
S1R,L1,CG,Targ9,n,n,y,from-pp,y,to-pp,Source-Goal,moves,,MLD
S1R,L1,CG,Targ3,n,n,y,from-pp,y,to-pp,Source-Goal,runs,,MLD
S1R,L1,CG,Targ10,n,n,y,from-pp,y,to-pp,Source-Goal,flies,,MLD
S3R,L3,CG,Targ13,n,n,n,,y,to-part,Goal Only,crawls,,MLD
S3R,L3,CG,Targ2,n,n,n,,y,to-part,Goal Only,gallops,,MLD
S3R,L3,CG,Targ17,n,n,n,,y,to-part,Goal Only,carries,,MLD
S3R,L3,CG,Targ7,n,n,y,from-pp,y,to-pp,Source-Goal,walks,,MLD
S3R,L3,CG,Targ5,n,n,n,,y,to-pp,Goal Only,flies,,MLD
S3R,L3,CG,Targ15,n,n,n,,y,to-pp,Goal Only,hops,,MLD
S3R,L3,CG,Targ6,n,n,y,from-part,n,,Source Only,flies,,MLD
S3R,L3,CG,Targ4,n,n,n,,y,to-part,Goal Only,flies,,MLD
S3R,L3,CG,Targ12,n,n,n,,y,v-np,Goal Only,explores,explored the shipwreck,MLD
S3R,L3,CG,Targ8,n,n,y,from-part,n,,Source Only,flies,,MLD
