VideoNumber,SubjID,TargID,ListID,ListNumb,GroundType,ChangeType,TargetResponse,ParticipantResponse,IsResponseCorrect
1,S1R,Targ13,L1_CG,L1,CG,Source,no,no,1
2,S1R,Targ2,L1_CG,L1,CG,Goal,no,yes,0
3,S1R,Targ17,L1_CG,L1,CG,Goal,no,no,1
4,S1R,Targ7,L1_CG,L1,CG,Source,no,no,1
5,S1R,Targ5,L1_CG,L1,CG,Goal,no,yes,0
6,S1R,Targ15,L1_CG,L1,CG,Match,yes,yes,1
7,S1R,Targ6,L1_CG,L1,CG,Match,yes,no,0
8,S1R,Targ4,L1_CG,L1,CG,Source,no,no,1
9,S1R,Targ12,L1_CG,L1,CG,Match,yes,yes,1
10,S1R,Targ8,L1_CG,L1,CG,Goal,no,no,1
11,S1R,Targ18,L1_CG,L1,CG,Match,yes,yes,1
12,S1R,Targ11,L1_CG,L1,CG,Goal,no,no,1
13,S1R,Targ14,L1_CG,L1,CG,Goal,no,no,1
14,S1R,Targ16,L1_CG,L1,CG,Source,no,yes,0
15,S1R,Targ1,L1_CG,L1,CG,Source,no,yes,0
16,S1R,Targ9,L1_CG,L1,CG,Match,yes,no,0
17,S1R,Targ3,L1_CG,L1,CG,Match,yes,yes,1
18,S1R,Targ10,L1_CG,L1,CG,Source,no,no,1
1,S3R,Targ13,L3_CG,L3,CG,Match,yes,yes,1
2,S3R,Targ2,L3_CG,L3,CG,Source,no,yes,0
3,S3R,Targ17,L3_CG,L3,CG,Source,no,yes,0
4,S3R,Targ7,L3_CG,L3,CG,Match,yes,yes,1
5,S3R,Targ5,L3_CG,L3,CG,Source,no,yes,0
6,S3R,Targ15,L3_CG,L3,CG,Goal,no,no,1
7,S3R,Targ6,L3_CG,L3,CG,Goal,no,yes,0
8,S3R,Targ4,L3_CG,L3,CG,Match,yes,yes,1
9,S3R,Targ12,L3_CG,L3,CG,Goal,no,no,1
10,S3R,Targ8,L3_CG,L3,CG,Source,no,no,1
11,S3R,Targ18,L3_CG,L3,CG,Goal,no,yes,0
12,S3R,Targ11,L3_CG,L3,CG,Source,no,no,1
13,S3R,Targ14,L3_CG,L3,CG,Source,no,no,1
14,S3R,Targ16,L3_CG,L3,CG,Match,yes,yes,1
15,S3R,Targ1,L3_CG,L3,CG,Match,yes,yes,1
16,S3R,Targ9,L3_CG,L3,CG,Goal,no,yes,0
17,S3R,Targ3,L3_CG,L3,CG,Goal,no,no,1
18,S3R,Targ10,L3_CG,L3,CG,Match,yes,yes,1
1,S5R,Targ13,L2_CG,L2,CG,Goal,no,yes,0
2,S5R,Targ2,L2_CG,L2,CG,Match,yes,yes,1
3,S5R,Targ17,L2_CG,L2,CG,Match,yes,yes,1
4,S5R,Targ7,L2_CG,L2,CG,Goal,no,yes,0
5,S5R,Targ5,L2_CG,L2,CG,Match,yes,yes,1
6,S5R,Targ15,L2_CG,L2,CG,Source,no,no,1
7,S5R,Targ6,L2_CG,L2,CG,Source,no,yes,0
8,S5R,Targ4,L2_CG,L2,CG,Goal,no,yes,0
9,S5R,Targ12,L2_CG,L2,CG,Source,no,no,1
10,S5R,Targ8,L2_CG,L2,CG,Match,yes,yes,1
11,S5R,Targ18,L2_CG,L2,CG,Source,no,yes,0
12,S5R,Targ11,L2_CG,L2,CG,Match,yes,no,0
13,S5R,Targ14,L2_CG,L2,CG,Match,yes,yes,1
14,S5R,Targ16,L2_CG,L2,CG,Goal,no,yes,0
